,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.0007983185316672406
2,0.02,0.008835283580450003
3,0.03,0.012289599218201957
4,0.04,0.01236355849411424
5,0.05,0.012413111785119417
6,0.06,0.01246286368631037
7,0.07,0.012512814993719123
8,0.08,0.012613319027283364
9,0.09,0.01274008503346046
10,0.1,0.01279114744735968
11,0.11,0.0128167553501572
12,0.12,0.012842414520027386
13,0.13,0.012868125059607022
14,0.14,0.012868125059607022
15,0.15,0.012893887071738367
16,0.16,0.012893887071738367
17,0.17,0.012893887071738367
18,0.18,0.012919700659469575
19,0.19,0.012919700659469575
20,0.2,0.012919700659469575
21,0.21,0.012919700659469575
22,0.22,0.012945565926055102
23,0.23,0.012945565926055102
24,0.24,0.012945565926055102
25,0.25,0.012945565926055102
26,0.26,0.012971482974956107
27,0.27,0.012971482974956107
28,0.28,0.012971482974956107
29,0.29,0.012971482974956107
30,0.3,0.012997451909840904
31,0.31,0.012997451909840904
32,0.32,0.012997451909840904
33,0.33,0.012997451909840904
34,0.34,0.013023472834585331
35,0.35000000000000003,0.013023472834585331
36,0.36,0.013023472834585331
37,0.37,0.013049545853273191
38,0.38,0.013049545853273191
39,0.39,0.013049545853273191
40,0.4,0.013075671070196661
41,0.41000000000000003,0.013075671070196661
42,0.42,0.013075671070196661
43,0.43,0.013101848589856717
44,0.44,0.013101848589856717
45,0.45,0.013128078516963538
46,0.46,0.013128078516963538
47,0.47000000000000003,0.013154360956436932
48,0.48,0.013180696013406776
49,0.49,0.013180696013406776
50,0.5,0.013207083793213397
51,0.51,0.01323352440140802
52,0.52,0.013260017943753182
53,0.53,0.01328656452622316
54,0.54,0.013313164255004388
55,0.55,0.013339817236495882
56,0.56,0.013339817236495882
57,0.5700000000000001,0.013366523577309688
58,0.58,0.013393283384271272
59,0.59,0.013420096764419964
60,0.6,0.013446963825009393
61,0.61,0.013473884673507913
62,0.62,0.013500859417599022
63,0.63,0.013527888165181794
64,0.64,0.013554971024371348
65,0.65,0.01358210810349922
66,0.66,0.013609299511113834
67,0.67,0.013663845747083996
68,0.68,0.013691200793624706
69,0.6900000000000001,0.013746075290919292
70,0.7000000000000001,0.013801169725858414
71,0.71,0.01385648497995479
72,0.72,0.013912021938254242
73,0.73,0.013967781489349901
74,0.74,0.014023764525396363
75,0.75,0.014079971942123988
76,0.76,0.014164705749241335
77,0.77,0.014249949487635409
78,0.78,0.014335706226092027
79,0.79,0.01439316390890434
80,0.8,0.014479782517199776
81,0.81,0.014566922399577159
82,0.8200000000000001,0.014654586693083775
83,0.8300000000000001,0.014742778553645742
84,0.84,0.014831501156181702
85,0.85,0.015010551382498934
86,0.86,0.01513111745501912
87,0.87,0.015283187764556231
88,0.88,0.015436786406624717
89,0.89,0.015623143813782043
90,0.9,0.015811750982145337
91,0.91,0.016163464281624563
92,0.92,0.016457041000491286
93,0.93,0.01668905999516812
94,0.9400000000000001,0.017060287973823713
95,0.9500000000000001,0.017650311524103825
96,0.96,0.01833393008235185
97,0.97,0.020221643246189514
98,0.98,0.03889064357572196
99,0.99,0.3002917127329587
100,1.0,1.3485090836194094
