,cdf,Number of Total Tokens
0,0.0,19.985369849237582
1,0.01,78.02278912874269
2,0.02,139.91025019505676
3,0.03,207.8883754170533
4,0.04,225.2027946146621
5,0.05,276.1657899684225
6,0.06,308.2778264562278
7,0.07,348.27815309016415
8,0.08,363.2173680122917
9,0.09,399.01599201879577
10,0.1,433.9813341629187
11,0.11,459.8965365621406
12,0.12,514.4002099151542
13,0.13,548.3981654110365
14,0.14,565.0993816105905
15,0.15,576.515150210852
16,0.16,602.4481681321131
17,0.17,630.808070451414
18,0.18,655.240053029416
19,0.19,681.9809159684918
20,0.2,721.2614505444045
21,0.21,735.8319032605918
22,0.22,809.9736630092099
23,0.23,837.9862931017004
24,0.24,854.9147448458432
25,0.25,886.2523791307749
26,0.26,907.779738413423
27,0.27,956.2331725645455
28,0.28,997.2503100274024
29,0.29,1031.7398315022524
30,0.3,1063.1609978635497
31,0.31,1128.9032249712284
32,0.32,1158.6396166932473
33,0.33,1235.2169146119252
34,0.34,1311.5984890779264
35,0.35000000000000003,1367.858841747247
36,0.36,1412.3382139553664
37,0.37,1464.108684288695
38,0.38,1536.0998923390307
39,0.39,1576.5622341167405
40,0.4,1601.990118957891
41,0.41000000000000003,1624.575718451248
42,0.42,1728.4874263137149
43,0.43,1774.0174399220637
44,0.44,1846.4164896949815
45,0.45,1921.7702017446443
46,0.46,1944.9703745342133
47,0.47000000000000003,1956.6752802855995
48,0.48,2000.1991581670443
49,0.49,2048.784647953762
50,0.5,2111.1794506901215
51,0.51,2171.1278563927876
52,0.52,2246.2154849197154
53,0.53,2323.899990429822
54,0.54,2370.845900130317
55,0.55,2438.167714878493
56,0.56,2502.391386713125
57,0.5700000000000001,2537.6712607692084
58,0.58,2578.600575950786
59,0.59,2599.3121231896957
60,0.6,2641.235624783471
61,0.61,2721.6732520144233
62,0.62,2793.3647311164596
63,0.63,2872.684261306917
64,0.64,3007.9142268945816
65,0.65,3080.9774443014076
66,0.66,3149.5100656271497
67,0.67,3213.134410801486
68,0.68,3291.182493394624
69,0.6900000000000001,3384.6379044403493
70,0.7000000000000001,3446.1130234633893
71,0.71,3515.7291478592115
72,0.72,3615.560716998281
73,0.73,3681.230083024383
74,0.74,3839.1345823452566
75,0.75,3916.6902715629726
76,0.76,3979.861358012067
77,0.77,4209.092232396174
78,0.78,4345.9614577498
79,0.79,4460.438243233108
80,0.8,4568.783742643015
81,0.81,4755.2394077011
82,0.8200000000000001,4919.697548271098
83,0.8300000000000001,5059.395774521718
84,0.84,5120.47428228147
85,0.85,5213.477367055974
86,0.86,5480.778158942876
87,0.87,5558.048710705299
88,0.88,5625.147102773261
89,0.89,5693.055526284359
90,0.9,5984.944824595679
91,0.91,6045.094540222722
92,0.92,6329.663901937605
93,0.93,6509.399101345139
94,0.9400000000000001,6614.387186910209
95,0.9500000000000001,6911.918000096232
96,0.96,7093.98453747066
97,0.97,7122.417312738304
98,0.98,7324.66329543208
99,0.99,7700.20694151096
100,1.0,8062.689771157097
