,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.0006033561104236347
2,0.02,0.005159052937037078
3,0.03,0.009823261916972052
4,0.04,0.009941851212208306
5,0.05,0.010001681651250902
6,0.06,0.010082016040345662
7,0.07,0.010162995682338517
8,0.08,0.01020372909115209
9,0.09,0.010224156977220457
10,0.1,0.010265135521238833
11,0.11,0.01034758599505196
12,0.12,0.010472505084140854
13,0.13,0.010535529018384658
14,0.14,0.010577755545285472
15,0.15,0.010620151316613502
16,0.16,0.010641412880810925
17,0.17,0.010684063791504642
18,0.18,0.010705453308604753
19,0.19,0.010748360894102584
20,0.2,0.010769879134130817
21,0.21,0.01079144045371867
22,0.22,0.010813044939111494
23,0.23,0.010856383753157218
24,0.24,0.010878118255165542
25,0.25,0.0108998962696904
26,0.26,0.010943583184912693
27,0.27,0.010965492260357958
28,0.28,0.010987445197816132
29,0.29,0.011031483010194344
30,0.3,0.011053568061265803
31,0.31,0.011075697326653724
32,0.32,0.011120088854624748
33,0.33,0.011142351294774148
34,0.34,0.011164658304373295
35,0.35000000000000003,0.011187009972650321
36,0.36,0.011209406389011986
37,0.37,0.011231847643044041
38,0.38,0.011254333824511598
39,0.39,0.011276865023359462
40,0.4,0.011299441329712537
41,0.41000000000000003,0.01134472962633634
42,0.42,0.011367441797760437
43,0.43,0.011413002641077271
44,0.44,0.011435851495213556
45,0.45,0.011481686525419796
46,0.46,0.011504672884830045
47,0.47000000000000003,0.011550783751992826
48,0.48,0.01157390844418901
49,0.49,0.01162029680830563
50,0.5,0.011666871097543038
51,0.51,0.01171363205709135
52,0.52,0.011760580435127404
53,0.53,0.011784125140703235
54,0.54,0.011831356055865461
55,0.55,0.011855042454375702
56,0.56,0.011878776273103181
57,0.5700000000000001,0.01192638655114139
58,0.58,0.011950263200893424
59,0.59,0.01199815999939721
60,0.6,0.012022180339736344
61,0.61,0.012070365382996768
62,0.62,0.012094530278658418
63,0.63,0.012118743552489568
64,0.64,0.012167315622267012
65,0.65,0.012191674612501781
66,0.66,0.01221608236948377
67,0.67,0.012240538990844098
68,0.68,0.012265044574409346
69,0.6900000000000001,0.0123142030204406
70,0.7000000000000001,0.012338856079540583
71,0.71,0.012388310362971326
72,0.72,0.012437962859764295
73,0.73,0.012512814993719123
74,0.74,0.012562966506568189
75,0.75,0.012638570917227877
76,0.76,0.01268922646132945
77,0.77,0.012765590709203124
78,0.78,0.0128167553501572
79,0.79,0.012893887071738367
80,0.8,0.012971482974956107
81,0.81,0.013049545853273191
82,0.8200000000000001,0.013128078516963538
83,0.8300000000000001,0.01323352440140802
84,0.84,0.013339817236495882
85,0.85,0.013446963825009393
86,0.86,0.013554971024371348
87,0.87,0.013691200793624706
88,0.88,0.01385648497995479
89,0.89,0.01399574501585511
90,0.9,0.014221478060087686
91,0.91,0.014537817659518063
92,0.92,0.014772293625825215
93,0.93,0.01513111745501912
94,0.9400000000000001,0.01571716448796558
95,0.9500000000000001,0.016325909852733606
96,0.96,0.017128665813019556
97,0.97,0.03314041860446005
98,0.98,0.04618955794251058
99,0.99,0.24733762678434026
100,1.0,1.3324236747320042
