,cdf,Number of Output Tokens
0,0.0,10.990159692286051
1,0.01,34.98784393437458
2,0.02,42.99142828733044
3,0.03,50.0489138553459
4,0.04,54.98172381112103
5,0.05,65.03989765493789
6,0.06,71.02279778045839
7,0.07,76.02034057843467
8,0.08,78.96470309310095
9,0.09,84.01547239000945
10,0.1,85.02973178204074
11,0.11,86.92111544680155
12,0.12,89.03245768467185
13,0.13,94.91682840557759
14,0.14,98.00328792216996
15,0.15,100.98793339163191
16,0.16,103.02802565952958
17,0.17,105.95357795162072
18,0.18,108.09398292749972
19,0.19,108.96220333143697
20,0.2,112.05626071695865
21,0.21,112.05626071695865
22,0.22,114.09153661923892
23,0.23,115.00792990336663
24,0.24,118.03734888197941
25,0.25,118.03734888197941
26,0.26,119.94113678795277
27,0.27,120.90451457652556
28,0.28,122.11962555631553
29,0.29,122.11962555631553
30,0.3,126.09065247316987
31,0.31,127.10342371406671
32,0.32,128.89538671575343
33,0.33,133.08674455668097
34,0.34,134.96306318989895
35,0.35000000000000003,136.0470984161514
36,0.36,136.8658350332025
37,0.37,136.8658350332025
38,0.38,139.91025019505676
39,0.39,141.0340216636387
40,0.4,141.88276977462596
41,0.41000000000000003,143.0223846944321
42,0.42,143.88309884982797
43,0.43,145.03878058917988
44,0.44,147.96875929938696
45,0.45,147.96875929938696
46,0.46,150.0548914768056
47,0.47000000000000003,153.08620238278175
48,0.48,157.11863951343716
49,0.49,158.06418546692328
50,0.5,160.9351025012422
51,0.51,166.83431691554176
52,0.52,168.8483896575149
53,0.53,171.91518000381075
54,0.54,172.94977210121453
55,0.55,173.9905904132433
56,0.56,176.091055785056
57,0.5700000000000001,177.15077846187063
58,0.58,178.93117398094043
59,0.59,181.09128352475034
60,0.6,186.97992229193082
61,0.61,188.85910238188015
62,0.62,193.83383194635599
63,0.63,196.17385074232715
64,0.64,196.96011789333122
65,0.65,198.1454313803173
66,0.66,198.1454313803173
67,0.67,200.13682673977718
68,0.68,202.14823596203493
69,0.6900000000000001,204.17986018982324
70,0.7000000000000001,219.86226842094075
71,0.71,227.0116433221731
72,0.72,231.13485182685199
73,0.73,232.9913473410534
74,0.74,237.22316510517507
75,0.75,242.01539253912478
76,0.76,244.9370732476433
77,0.77,246.90442942154698
78,0.78,247.89402534147717
79,0.79,250.88667462712155
80,0.8,256.9807937641828
81,0.81,259.0448861634396
82,0.8200000000000001,264.80702672134765
83,0.8300000000000001,269.07801738374314
84,0.84,277.8277662050077
85,0.85,288.01178161007823
86,0.86,289.7450474752937
87,0.87,293.83000750096295
88,0.88,297.97255918715183
89,0.89,302.1735144877931
90,0.9,308.8949992819657
91,0.91,315.1350942959273
92,0.92,318.9394974618649
93,0.93,335.96313577909575
94,0.9400000000000001,380.3156174923088
95,0.9500000000000001,387.2232833968323
96,0.96,399.01599201879577
97,0.97,404.64150448640294
98,0.98,408.7082205780416
99,0.99,455.32048804743
100,1.0,495.2197326096817
